sample,conn,wall_time_ms,wall_delta_us,orig_ts,orig_ts_delta,synth_ts,synth_ts_delta,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,report_hex_16_32
0,USB,0.01,0,74932022,0,74932022,0,-22,177,116,-1181,8006,-1447,ea ff b1 00 74 00 63 fb 46 1f 59 fa 36 5f 77 04
1,USB,0.10,85,74932022,0,74932022,0,-22,177,116,-1181,8006,-1447,ea ff b1 00 74 00 63 fb 46 1f 59 fa 36 5f 77 04
2,USB,0.11,17,74932022,0,74932022,0,-22,177,116,-1181,8006,-1447,ea ff b1 00 74 00 63 fb 46 1f 59 fa 36 5f 77 04
3,USB,0.12,8,74932022,0,74932022,0,-22,177,116,-1181,8006,-1447,ea ff b1 00 74 00 63 fb 46 1f 59 fa 36 5f 77 04
4,USB,0.13,8,74932022,0,74932022,0,-22,177,116,-1181,8006,-1447,ea ff b1 00 74 00 63 fb 46 1f 59 fa 36 5f 77 04
5,USB,0.14,8,74932022,0,74932022,0,-22,177,116,-1181,8006,-1447,ea ff b1 00 74 00 63 fb 46 1f 59 fa 36 5f 77 04
6,USB,0.14,6,74932022,0,74932022,0,-22,177,116,-1181,8006,-1447,ea ff b1 00 74 00 63 fb 46 1f 59 fa 36 5f 77 04
7,USB,0.15,7,74932022,0,74932022,0,-22,177,116,-1181,8006,-1447,ea ff b1 00 74 00 63 fb 46 1f 59 fa 36 5f 77 04
8,USB,0.16,6,74932022,0,74932022,0,-22,177,116,-1181,8006,-1447,ea ff b1 00 74 00 63 fb 46 1f 59 fa 36 5f 77 04
9,USB,0.16,6,74932022,0,74932022,0,-22,177,116,-1181,8006,-1447,ea ff b1 00 74 00 63 fb 46 1f 59 fa 36 5f 77 04
10,USB,0.17,6,74932022,0,74932022,0,-22,177,116,-1181,8006,-1447,ea ff b1 00 74 00 63 fb 46 1f 59 fa 36 5f 77 04
11,USB,0.17,6,74932022,0,74932022,0,-22,177,116,-1181,8006,-1447,ea ff b1 00 74 00 63 fb 46 1f 59 fa 36 5f 77 04
12,USB,0.18,6,74932022,0,74932022,0,-22,177,116,-1181,8006,-1447,ea ff b1 00 74 00 63 fb 46 1f 59 fa 36 5f 77 04
13,USB,0.19,7,74932022,0,74932022,0,-22,177,116,-1181,8006,-1447,ea ff b1 00 74 00 63 fb 46 1f 59 fa 36 5f 77 04
