sample,conn,wall_time_ms,wall_delta_us,orig_ts,orig_ts_delta,synth_ts,synth_ts_delta,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,report_hex_16_32
0,USB,0.01,0,589650287,0,589650287,0,-1,1,0,-108,7981,1411,ff ff 01 00 00 00 94 ff 2d 1f 83 05 6f 59 25 23
1,USB,0.08,70,589650287,0,589650287,0,-1,1,0,-108,7981,1411,ff ff 01 00 00 00 94 ff 2d 1f 83 05 6f 59 25 23
2,USB,0.10,19,589662408,12121,589662408,12121,-1,1,0,-108,7980,1410,ff ff 01 00 00 00 94 ff 2c 1f 82 05 c8 88 25 23
3,USB,0.10,9,589662408,0,589662408,0,-1,1,0,-108,7980,1410,ff ff 01 00 00 00 94 ff 2c 1f 82 05 c8 88 25 23
4,USB,0.11,6,589662408,0,589662408,0,-1,1,0,-108,7980,1410,ff ff 01 00 00 00 94 ff 2c 1f 82 05 c8 88 25 23
5,USB,0.12,6,589662408,0,589662408,0,-1,1,0,-108,7980,1410,ff ff 01 00 00 00 94 ff 2c 1f 82 05 c8 88 25 23
6,USB,0.12,7,589662408,0,589662408,0,-1,1,0,-108,7980,1410,ff ff 01 00 00 00 94 ff 2c 1f 82 05 c8 88 25 23
7,USB,0.13,6,589662408,0,589662408,0,-1,1,0,-108,7980,1410,ff ff 01 00 00 00 94 ff 2c 1f 82 05 c8 88 25 23
8,USB,0.14,5,589674529,12121,589674529,12121,-1,1,0,-108,7979,1409,ff ff 01 00 00 00 94 ff 2b 1f 81 05 21 b8 25 23
9,USB,0.14,5,589674529,0,589674529,0,-1,1,0,-108,7979,1409,ff ff 01 00 00 00 94 ff 2b 1f 81 05 21 b8 25 23
10,USB,0.15,5,589686650,12121,589686650,12121,-1,1,0,-108,7979,1409,ff ff 01 00 00 00 94 ff 2b 1f 81 05 7a e7 25 23
11,USB,0.15,6,589686650,0,589686650,0,-1,1,0,-108,7979,1409,ff ff 01 00 00 00 94 ff 2b 1f 81 05 7a e7 25 23
12,USB,0.16,5,589686650,0,589686650,0,-1,1,0,-108,7979,1409,ff ff 01 00 00 00 94 ff 2b 1f 81 05 7a e7 25 23
13,USB,15.04,14883,589698771,12121,589698771,12121,-1,1,0,-108,7978,1408,ff ff 01 00 00 00 94 ff 2a 1f 80 05 d3 16 26 23
14,USB,15.06,23,589698771,0,589698771,0,-1,1,0,-108,7978,1408,ff ff 01 00 00 00 94 ff 2a 1f 80 05 d3 16 26 23
15,USB,15.08,14,589698771,0,589698771,0,-1,1,0,-108,7978,1408,ff ff 01 00 00 00 94 ff 2a 1f 80 05 d3 16 26 23
16,USB,15.18,103,589710892,12121,589710892,12121,-1,1,0,-108,7978,1408,ff ff 01 00 00 00 94 ff 2a 1f 80 05 2c 46 26 23
17,USB,15.22,42,589710892,0,589710892,0,-1,1,0,-108,7978,1408,ff ff 01 00 00 00 94 ff 2a 1f 80 05 2c 46 26 23
18,USB,15.24,17,589710892,0,589710892,0,-1,1,0,-108,7978,1408,ff ff 01 00 00 00 94 ff 2a 1f 80 05 2c 46 26 23
19,USB,30.57,15331,589747255,36363,589747255,36363,0,1,0,-109,7981,1409,00 00 01 00 00 00 93 ff 2d 1f 81 05 37 d4 26 23
20,USB,30.59,22,589747255,0,589747255,0,0,1,0,-109,7981,1409,00 00 01 00 00 00 93 ff 2d 1f 81 05 37 d4 26 23
21,USB,30.60,8,589747255,0,589747255,0,0,1,0,-109,7981,1409,00 00 01 00 00 00 93 ff 2d 1f 81 05 37 d4 26 23
22,USB,30.69,90,589759376,12121,589759376,12121,0,1,0,-109,7985,1411,00 00 01 00 00 00 93 ff 31 1f 83 05 90 03 27 23
23,USB,30.71,23,589759376,0,589759376,0,0,1,0,-109,7985,1411,00 00 01 00 00 00 93 ff 31 1f 83 05 90 03 27 23
24,USB,30.72,12,589759376,0,589759376,0,0,1,0,-109,7985,1411,00 00 01 00 00 00 93 ff 31 1f 83 05 90 03 27 23
25,USB,30.73,6,589759376,0,589759376,0,0,1,0,-109,7985,1411,00 00 01 00 00 00 93 ff 31 1f 83 05 90 03 27 23
26,USB,30.76,29,589771497,12121,589771497,12121,0,1,0,-109,7990,1413,00 00 01 00 00 00 93 ff 36 1f 85 05 e9 32 27 23
27,USB,30.78,23,589771497,0,589771497,0,0,1,0,-109,7990,1413,00 00 01 00 00 00 93 ff 36 1f 85 05 e9 32 27 23
28,USB,30.79,8,589771497,0,589771497,0,0,1,0,-109,7990,1413,00 00 01 00 00 00 93 ff 36 1f 85 05 e9 32 27 23
29,USB,30.82,32,589771497,0,589771497,0,0,1,0,-109,7990,1413,00 00 01 00 00 00 93 ff 36 1f 85 05 e9 32 27 23
30,USB,30.85,22,589771497,0,589771497,0,0,1,0,-109,7990,1413,00 00 01 00 00 00 93 ff 36 1f 85 05 e9 32 27 23
31,USB,30.85,8,589771497,0,589771497,0,0,1,0,-109,7990,1413,00 00 01 00 00 00 93 ff 36 1f 85 05 e9 32 27 23
32,USB,30.86,6,589771497,0,589771497,0,0,1,0,-109,7990,1413,00 00 01 00 00 00 93 ff 36 1f 85 05 e9 32 27 23
33,USB,30.86,6,589771497,0,589771497,0,0,1,0,-109,7990,1413,00 00 01 00 00 00 93 ff 36 1f 85 05 e9 32 27 23
34,USB,30.88,14,589771497,0,589771497,0,0,1,0,-109,7990,1413,00 00 01 00 00 00 93 ff 36 1f 85 05 e9 32 27 23
35,USB,30.89,6,589771497,0,589771497,0,0,1,0,-109,7990,1413,00 00 01 00 00 00 93 ff 36 1f 85 05 e9 32 27 23
36,USB,30.91,22,589771497,0,589771497,0,0,1,0,-109,7990,1413,00 00 01 00 00 00 93 ff 36 1f 85 05 e9 32 27 23
37,USB,30.93,23,589783618,12121,589783618,12121,0,1,0,-110,7994,1416,00 00 01 00 00 00 92 ff 3a 1f 88 05 42 62 27 23
38,USB,30.95,21,589783618,0,589783618,0,0,1,0,-110,7994,1416,00 00 01 00 00 00 92 ff 3a 1f 88 05 42 62 27 23
39,USB,30.97,22,589783618,0,589783618,0,0,1,0,-110,7994,1416,00 00 01 00 00 00 92 ff 3a 1f 88 05 42 62 27 23
40,USB,30.99,21,589783618,0,589783618,0,0,1,0,-110,7994,1416,00 00 01 00 00 00 92 ff 3a 1f 88 05 42 62 27 23
41,USB,31.02,23,589783618,0,589783618,0,0,1,0,-110,7994,1416,00 00 01 00 00 00 92 ff 3a 1f 88 05 42 62 27 23
42,USB,31.02,8,589783618,0,589783618,0,0,1,0,-110,7994,1416,00 00 01 00 00 00 92 ff 3a 1f 88 05 42 62 27 23
