sample,conn,wall_time_ms,wall_delta_us,orig_ts,orig_ts_delta,synth_ts,synth_ts_delta,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,report_hex_16_32
0,USB,0.01,0,152401731,0,152401731,0,152,186,-112,-962,8298,-1266,98 00 ba 00 90 ff 3e fc 6a 20 0e fb 43 77 15 09
1,USB,0.08,74,152401731,0,152401731,0,152,186,-112,-962,8298,-1266,98 00 ba 00 90 ff 3e fc 6a 20 0e fb 43 77 15 09
2,USB,3.18,3100,152413014,11283,152413014,11283,161,200,-115,-910,8267,-1253,a1 00 c8 00 8d ff 72 fc 4b 20 1b fb 56 a3 15 09
3,USB,3.20,21,152413014,0,152413014,0,161,200,-115,-910,8267,-1253,a1 00 c8 00 8d ff 72 fc 4b 20 1b fb 56 a3 15 09
4,USB,3.21,9,152413014,0,152413014,0,161,200,-115,-910,8267,-1253,a1 00 c8 00 8d ff 72 fc 4b 20 1b fb 56 a3 15 09
5,USB,3.23,23,152413014,0,152413014,0,161,200,-115,-910,8267,-1253,a1 00 c8 00 8d ff 72 fc 4b 20 1b fb 56 a3 15 09
6,USB,3.28,43,152413014,0,152413014,0,161,200,-115,-910,8267,-1253,a1 00 c8 00 8d ff 72 fc 4b 20 1b fb 56 a3 15 09
7,USB,3.29,17,152413014,0,152413014,0,161,200,-115,-910,8267,-1253,a1 00 c8 00 8d ff 72 fc 4b 20 1b fb 56 a3 15 09
8,USB,3.30,12,152413014,0,152413014,0,161,200,-115,-910,8267,-1253,a1 00 c8 00 8d ff 72 fc 4b 20 1b fb 56 a3 15 09
9,USB,3.32,11,152413014,0,152413014,0,161,200,-115,-910,8267,-1253,a1 00 c8 00 8d ff 72 fc 4b 20 1b fb 56 a3 15 09
10,USB,3.33,10,152413014,0,152413014,0,161,200,-115,-910,8267,-1253,a1 00 c8 00 8d ff 72 fc 4b 20 1b fb 56 a3 15 09
11,USB,3.36,34,152413014,0,152413014,0,161,200,-115,-910,8267,-1253,a1 00 c8 00 8d ff 72 fc 4b 20 1b fb 56 a3 15 09
12,USB,3.37,11,152413014,0,152413014,0,161,200,-115,-910,8267,-1253,a1 00 c8 00 8d ff 72 fc 4b 20 1b fb 56 a3 15 09
13,USB,3.38,10,152413014,0,152413014,0,161,200,-115,-910,8267,-1253,a1 00 c8 00 8d ff 72 fc 4b 20 1b fb 56 a3 15 09
14,USB,3.41,29,152413014,0,152413014,0,161,200,-115,-910,8267,-1253,a1 00 c8 00 8d ff 72 fc 4b 20 1b fb 56 a3 15 09
15,USB,3.43,23,152413014,0,152413014,0,161,200,-115,-910,8267,-1253,a1 00 c8 00 8d ff 72 fc 4b 20 1b fb 56 a3 15 09
16,USB,3.47,31,152413014,0,152413014,0,161,200,-115,-910,8267,-1253,a1 00 c8 00 8d ff 72 fc 4b 20 1b fb 56 a3 15 09
17,USB,3.48,17,152413014,0,152413014,0,161,200,-115,-910,8267,-1253,a1 00 c8 00 8d ff 72 fc 4b 20 1b fb 56 a3 15 09
18,USB,3.50,22,152413014,0,152413014,0,161,200,-115,-910,8267,-1253,a1 00 c8 00 8d ff 72 fc 4b 20 1b fb 56 a3 15 09
19,USB,3.51,8,152413014,0,152413014,0,161,200,-115,-910,8267,-1253,a1 00 c8 00 8d ff 72 fc 4b 20 1b fb 56 a3 15 09
20,USB,3.52,11,152413014,0,152413014,0,161,200,-115,-910,8267,-1253,a1 00 c8 00 8d ff 72 fc 4b 20 1b fb 56 a3 15 09
21,USB,3.54,19,152413014,0,152413014,0,161,200,-115,-910,8267,-1253,a1 00 c8 00 8d ff 72 fc 4b 20 1b fb 56 a3 15 09
22,USB,3.57,31,152413014,0,152413014,0,161,200,-115,-910,8267,-1253,a1 00 c8 00 8d ff 72 fc 4b 20 1b fb 56 a3 15 09
23,USB,3.59,19,152413014,0,152413014,0,161,200,-115,-910,8267,-1253,a1 00 c8 00 8d ff 72 fc 4b 20 1b fb 56 a3 15 09
24,USB,3.61,18,152413014,0,152413014,0,161,200,-115,-910,8267,-1253,a1 00 c8 00 8d ff 72 fc 4b 20 1b fb 56 a3 15 09
25,USB,3.63,23,152413014,0,152413014,0,161,200,-115,-910,8267,-1253,a1 00 c8 00 8d ff 72 fc 4b 20 1b fb 56 a3 15 09
